"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","127","The class 'StringUtils' has a total cyclomatic complexity of 694 (highest 36).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","629","The method 'stripAccents(String)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"3","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","908","The method 'ordinalIndexOf(String, String, int, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","1440","The method 'containsAny(CharSequence, char[])' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"5","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","2577","The method 'splitByWholeSeparatorWorker(String, String, int, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"6","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","2721","The method 'splitWorker(String, char, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"7","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","2846","The method 'splitWorker(String, String, int, boolean)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"8","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","3676","The method 'replace(String, String, String, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"9","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","3845","The method 'replaceEach(String, String[], String[], boolean, int)' has a cyclomatic complexity of 36.","Design","CyclomaticComplexity"
"10","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","4290","The method 'repeat(String, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"11","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","5523","The method 'abbreviate(String, int, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"12","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","5716","The method 'indexOfDifference(CharSequence[])' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"13","org.apache.commons.lang3","data/temp/Lang_31f/src/main/java/org/apache/commons/lang3/StringUtils.java","3","5863","The method 'getLevenshteinDistance(CharSequence, CharSequence)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
