"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","50","The class 'ArrayUtils' has a total cyclomatic complexity of 573 (highest 10).","Design","CyclomaticComplexity"
"2","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","788","The method 'isSameLength(Object[], Object[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","806","The method 'isSameLength(long[], long[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","824","The method 'isSameLength(int[], int[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","842","The method 'isSameLength(short[], short[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","860","The method 'isSameLength(char[], char[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"7","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","878","The method 'isSameLength(byte[], byte[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","896","The method 'isSameLength(double[], double[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"9","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","914","The method 'isSameLength(float[], float[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","932","The method 'isSameLength(boolean[], boolean[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/ArrayUtils.java","3","1280","The method 'lastIndexOf(Object[], Object, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.lang","data/temp/Lang_41b/src/java/org/apache/commons/lang/BooleanUtils.java","3","34","The class 'BooleanUtils' has a total cyclomatic complexity of 127 (highest 10).","Design","CyclomaticComplexity"
