"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","80","The class 'FastMath' has a total cyclomatic complexity of 445 (highest 39).","Design","CyclomaticComplexity"
"2","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","455","The method 'sinh(double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","841","The method 'exp(double, double, double[])' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","1129","The method 'log(double, double[])' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"5","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","1442","The method 'pow(double, double)' has a cyclomatic complexity of 38.","Design","CyclomaticComplexity"
"6","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","2006","The method 'reducePayneHanek(double, double[])' has a cyclomatic complexity of 39.","Design","CyclomaticComplexity"
"7","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","2224","The method 'sin(double)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"8","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","2291","The method 'cos(double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"9","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","2345","The method 'tan(double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"10","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","2431","The method 'atan(double, double, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","2578","The method 'atan2(double, double)' has a cyclomatic complexity of 33.","Design","CyclomaticComplexity"
"12","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","3049","The method 'scalb(double, int)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"13","org.apache.commons.math3.util","data/temp/Math_15f/src/main/java/org/apache/commons/math3/util/FastMath.java","3","3133","The method 'scalb(float, int)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
