"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math3.analysis.differentiation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java","3","125","The class 'DSCompiler' has a total cyclomatic complexity of 192 (highest 15).","Design","CyclomaticComplexity"
"2","org.apache.commons.math3.analysis.differentiation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java","3","157","The method 'getCompiler(int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"3","org.apache.commons.math3.analysis.differentiation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java","3","343","The method 'compileMultiplicationIndirection(int, int, DSCompiler, DSCompiler, int[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","org.apache.commons.math3.analysis.differentiation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java","3","408","The method 'compileCompositionIndirection(int, int, DSCompiler, DSCompiler, int[][], int[][], int[])' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math3.analysis.differentiation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/differentiation/DerivativeStructure.java","3","58","The class 'DerivativeStructure' has a total cyclomatic complexity of 91 (highest 7).","Design","CyclomaticComplexity"
"1","org.apache.commons.math3.analysis.function","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/function/Sinc.java","3","108","The method 'value(DerivativeStructure)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math3.analysis.integration.gauss","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/integration/gauss/LegendreHighPrecisionRuleFactory.java","3","69","The method 'computeRule(int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.math3.analysis.integration.gauss","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/integration/gauss/LegendreRuleFactory.java","3","39","The method 'computeRule(int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.commons.math3.analysis.interpolation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/interpolation/BicubicSplineInterpolatingFunction.java","3","92","The constructor 'BicubicSplineInterpolatingFunction(double[], double[], double[][], double[][], double[][], double[][])' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"1","org.apache.commons.math3.analysis.interpolation","data/temp/Math_18f/src/main/java/org/apache/commons/math3/analysis/interpolation/BicubicSplineInterpolator.java","3","37","The method 'interpolate(double[], double[], double[][])' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
