"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","50","The class 'BigMatrixImpl' has a total cyclomatic complexity of 254 (highest 19).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","138","The constructor 'BigMatrixImpl(BigDecimal[][], boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","659","The method 'setSubMatrix(BigDecimal[][], int, int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","1096","The method 'solve(BigMatrix)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","1169","The method 'luDecompose()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","52","The class 'RealMatrixImpl' has a total cyclomatic complexity of 211 (highest 19).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","130","The constructor 'RealMatrixImpl(double[][], boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","527","The method 'setSubMatrix(double[][], int, int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","849","The method 'solve(RealMatrix)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.linear","data/temp/Math_98f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","922","The method 'luDecompose()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
