"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.math.util","data/temp/Math_105f/src/experimental/org/apache/commons/math/util/BeanTransformer.java","3","72","The method 'transform(Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/BrentSolver.java","3","81","The method 'solve(double, double)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/LaguerreSolver.java","3","253","The method 'solve(Complex[], Complex)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/MullerSolver.java","3","104","The method 'solve(double, double)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/MullerSolver.java","3","208","The method 'solve2(double, double)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/PolynomialFunctionLagrangeForm.java","3","218","The method 'computeCoefficients()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/RiddersSolver.java","3","93","The method 'solve(double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/SecantSolver.java","3","83","The method 'solve(double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/SplineInterpolator.java","3","51","The method 'interpolate(double[], double[])' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.analysis","data/temp/Math_105f/src/java/org/apache/commons/math/analysis/UnivariateRealSolverUtils.java","3","165","The method 'bracket(UnivariateRealFunction, double, double, double, int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.complex","data/temp/Math_105f/src/java/org/apache/commons/math/complex/Complex.java","3","186","The method 'divide(Complex)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.fraction","data/temp/Math_105f/src/java/org/apache/commons/math/fraction/Fraction.java","3","337","The method 'addSub(Fraction, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"2","org.apache.commons.math.fraction","data/temp/Math_105f/src/java/org/apache/commons/math/fraction/Fraction.java","3","441","The method 'getReducedFraction(int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","48","The class 'BigMatrixImpl' has a total cyclomatic complexity of 224 (highest 19).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","438","The method 'getSubMatrix(int, int, int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","517","The method 'setSubMatrix(BigDecimal[][], int, int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","954","The method 'solve(BigMatrix)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/BigMatrixImpl.java","3","1020","The method 'luDecompose()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","50","The class 'RealMatrixImpl' has a total cyclomatic complexity of 181 (highest 19).","Design","CyclomaticComplexity"
"2","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","307","The method 'getSubMatrix(int, int, int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","386","The method 'setSubMatrix(double[][], int, int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","707","The method 'solve(RealMatrix)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"5","org.apache.commons.math.linear","data/temp/Math_105f/src/java/org/apache/commons/math/linear/RealMatrixImpl.java","3","773","The method 'luDecompose()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.math.special","data/temp/Math_105f/src/java/org/apache/commons/math/special/Gamma.java","3","146","The method 'regularizedGammaP(double, double, double, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
