"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/BeanMap.java","3","192","The method 'clone()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/BinaryHeap.java","3","481","The method 'remove()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CollectionUtils.java","3","57","The class 'CollectionUtils' has a total cyclomatic complexity of 177 (highest 19).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CollectionUtils.java","3","740","The method 'index(Object, Object)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CollectionUtils.java","3","828","The method 'get(Object, int)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CollectionUtils.java","3","893","The method 'size(Object)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"5","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CollectionUtils.java","3","945","The method 'sizeIsEmpty(Object)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CursorableLinkedList.java","3","54","The class 'CursorableLinkedList' has a total cyclomatic complexity of 156 (highest 8).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/CursorableLinkedList.java","3","1205","The constructor 'CursorableSubList(CursorableLinkedList, int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/DoubleOrderedMap.java","3","106","The class 'DoubleOrderedMap' has a total cyclomatic complexity of 149 (highest 15).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/DoubleOrderedMap.java","3","803","The method 'doRedBlackInsert(Node, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/DoubleOrderedMap.java","3","874","The method 'doRedBlackDelete(Node)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/DoubleOrderedMap.java","3","951","The method 'doRedBlackDeleteFixup(Node, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"5","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/DoubleOrderedMap.java","3","1043","The method 'swapPosition(Node, Node, int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/ExtendedProperties.java","3","143","The class 'ExtendedProperties' has a total cyclomatic complexity of 214 (highest 16).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/ExtendedProperties.java","3","226","The method 'interpolateHelper(String, List)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/ExtendedProperties.java","3","559","The method 'load(InputStream, String)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/FastArrayList.java","3","365","The method 'equals(Object)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/FastHashMap.java","3","329","The method 'equals(Object)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/FastTreeMap.java","3","381","The method 'equals(Object)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/IteratorUtils.java","3","73","The class 'IteratorUtils' has a total cyclomatic complexity of 93 (highest 13).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/IteratorUtils.java","3","872","The method 'getIterator(Object)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/MapUtils.java","3","89","The class 'MapUtils' has a total cyclomatic complexity of 154 (highest 13).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/MapUtils.java","3","976","The method 'verbosePrintInternal(PrintStream, Object, Map, ArrayStack, boolean)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections","data/temp/Collections_3f/src/java/org/apache/commons/collections/MapUtils.java","3","1155","The method 'putAll(Map, Object[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.bidimap","data/temp/Collections_3f/src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","75","The class 'TreeBidiMap' has a total cyclomatic complexity of 194 (highest 15).","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.bidimap","data/temp/Collections_3f/src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","943","The method 'doRedBlackInsert(Node, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.apache.commons.collections.bidimap","data/temp/Collections_3f/src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","1010","The method 'doRedBlackDelete(Node)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","org.apache.commons.collections.bidimap","data/temp/Collections_3f/src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","1077","The method 'doRedBlackDeleteFixup(Node, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"5","org.apache.commons.collections.bidimap","data/temp/Collections_3f/src/java/org/apache/commons/collections/bidimap/TreeBidiMap.java","3","1160","The method 'swapPosition(Node, Node, int)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.buffer","data/temp/Collections_3f/src/java/org/apache/commons/collections/buffer/BoundedBuffer.java","3","135","The method 'timeoutWait(int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.buffer","data/temp/Collections_3f/src/java/org/apache/commons/collections/buffer/PriorityBuffer.java","3","487","The method 'remove()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.comparators","data/temp/Collections_3f/src/java/org/apache/commons/collections/comparators/FixedOrderComparator.java","3","236","The method 'compare(Object, Object)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.functors","data/temp/Collections_3f/src/java/org/apache/commons/collections/functors/InstantiateFactory.java","3","55","The method 'getInstance(Class, Class[], Object[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.functors","data/temp/Collections_3f/src/java/org/apache/commons/collections/functors/InstantiateTransformer.java","3","53","The method 'getInstance(Class[], Object[])' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","org.apache.commons.collections.functors","data/temp/Collections_3f/src/java/org/apache/commons/collections/functors/InstantiateTransformer.java","3","97","The method 'transform(Object)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.functors","data/temp/Collections_3f/src/java/org/apache/commons/collections/functors/InvokerTransformer.java","3","67","The method 'getInstance(String, Class[], Object[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.commons.collections.list","data/temp/Collections_3f/src/java/org/apache/commons/collections/list/AbstractLinkedList.java","3","47","The class 'AbstractLinkedList' has a total cyclomatic complexity of 99 (highest 11).","Design","CyclomaticComplexity"
