"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/AbstractCommandLineRunner.java","3","81","The class 'AbstractCommandLineRunner' has a total cyclomatic complexity of 172 (highest 22).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/AbstractCommandLineRunner.java","3","320","The method 'createJsModules(List<String>, List<String>)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/AbstractCommandLineRunner.java","3","548","The method 'processResults(Result, JSModule[], B)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/AbstractCommandLineRunner.java","3","867","The method 'outputNameMaps(B)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/AbstractCommandLineRunner.java","3","937","The method 'createDefineReplacements(List<String>, CompilerOptions)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/Compiler.java","3","65","The class 'Compiler' has a total cyclomatic complexity of 232 (highest 24).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/Compiler.java","3","566","The method 'compileInternal()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_149f/src/com/google/javascript/jscomp/Compiler.java","3","998","The method 'parseInputs()' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
