"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","3","42","The class 'ControlFlowAnalysis' has a total cyclomatic complexity of 190 (highest 24).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","3","214","The method 'shouldTraverse(NodeTraversal, Node, Node)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","3","291","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","3","478","The method 'handleStmtList(Node)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","3","670","The method 'computeFollowNode(Node, Node)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","3","884","The method 'mayThrowException(Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/DisambiguateProperties.java","3","736","The method 'getTypeWithProperty(String, JSType)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_103f/src/com/google/javascript/jscomp/DisambiguateProperties.java","3","789","The method 'recordInterfaces(JSType, JSType, Property)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
