"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","76","The class 'NameAnalyzer' has a total cyclomatic complexity of 135 (highest 21).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","509","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","596","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","745","The method 'addSimplifiedExpression(Node, Node)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","767","The method 'shouldTraverse(NodeTraversal, Node, Node)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","816","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","1130","The method 'getHtmlReport()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","1318","The method 'createNameInformation(NodeTraversal, Node, Node)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","1650","The method 'replaceTopLevelExpressionWithRhs(Node, Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"10","com.google.javascript.jscomp","data/temp/Closure_40f/src/com/google/javascript/jscomp/NameAnalyzer.java","3","1714","The method 'valueConsumedByParent(Node, Node)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
