"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/FunctionTypeBuilder.java","3","63","The class 'FunctionTypeBuilder' has a total cyclomatic complexity of 105 (highest 13).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/FunctionTypeBuilder.java","3","214","The method 'inferReturnStatements(Node)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/FunctionTypeBuilder.java","3","250","The method 'inferInheritance(JSDocInfo)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/FunctionTypeBuilder.java","3","367","The method 'inferParameterTypes(Node, JSDocInfo)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/FunctionTypeBuilder.java","3","468","The method 'addParameter(FunctionParamBuilder, JSType, boolean, boolean, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","296","The class 'AbstractScopeBuilder' has a total cyclomatic complexity of 106 (highest 27).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","365","The method 'getDeclaredTypeInAnnotation(String, Node, JSDocInfo)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","422","The method 'define(Node, Node)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","550","The method 'getFunctionType(String, Node, JSDocInfo, Node)' has a cyclomatic complexity of 27.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","687","The method 'getEnumType(String, Node, Node, JSType)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","756","The method 'defineSlot(Node, Node, JSType, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","828","The class 'GlobalScopeBuilder' has a total cyclomatic complexity of 87 (highest 28).","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","856","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 28.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp","data/temp/Closure_144f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1092","The method 'maybeDeclareQualifiedName(NodeTraversal, JSDocInfo, Node, Node, Node)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.rhino.jstype","data/temp/Closure_144f/src/com/google/javascript/rhino/jstype/FunctionType.java","3","67","The class 'FunctionType' has a total cyclomatic complexity of 147 (highest 16).","Design","CyclomaticComplexity"
"2","com.google.javascript.rhino.jstype","data/temp/Closure_144f/src/com/google/javascript/rhino/jstype/FunctionType.java","3","461","The method 'supAndInfHelper(JSType, boolean)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
