"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","48","The class 'JsDocInfoParser' has a total cyclomatic complexity of 462 (highest 172).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","241","The method 'parseHelperLoop(JsDocToken, List<ExtendedTypeInfo>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","288","The method 'parseAnnotation(JsDocToken, List<ExtendedTypeInfo>)' has a cyclomatic complexity of 172.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","1210","The method 'parseIdGeneratorTag(JsDocToken)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","1344","The method 'toString(JsDocToken)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","1501","The method 'extractMultilineTextualBlock(JsDocToken, WhitespaceOption)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","1627","The method 'extractBlockComment(JsDocToken)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","1856","The method 'parseTypeExpression(JsDocToken)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","1993","The method 'parseFunctionType(JsDocToken)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"10","com.google.javascript.jscomp.parsing","data/temp/Closure_109f/src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java","3","2087","The method 'parseParametersType(JsDocToken)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
