"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","65","The class 'TypeInference' has a total cyclomatic complexity of 305 (highest 65).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","122","The method 'inferArguments(Scope)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","192","The method 'branchedFlowThrough(Node, FlowScope)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","305","The method 'traverse(Node, FlowScope)' has a cyclomatic complexity of 65.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","519","The method 'updateScopeForTypeChange(FlowScope, Node, JSType, JSType)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","567","The method 'ensurePropertyDefined(Node, JSType)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","657","The method 'traverseName(Node, FlowScope)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","719","The method 'traverseObjectLiteral(Node, FlowScope)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","770","The method 'traverseAdd(Node, FlowScope)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"10","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","1033","The method 'maybeResolveTemplatedType(JSType, JSType, Map<TemplateType, JSType>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"11","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypeInference.java","3","1293","The method 'getPropertyType(JSType, String, Node, FlowScope)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","410","The class 'AbstractScopeBuilder' has a total cyclomatic complexity of 285 (highest 34).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","515","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","573","The method 'attachLiteralTypes(Node)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","873","The method 'createFunctionTypeFromNodes(Node, String, JSDocInfo, Node)' has a cyclomatic complexity of 34.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1049","The method 'createEnumTypeFromNodes(Node, String, JSDocInfo, Node)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1150","The method 'defineSlot(Node, Node, String, JSType, boolean)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1325","The method 'getDeclaredType(JSDocInfo, Node, Node)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_171f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1400","The method 'checkForClassDefiningCalls(NodeTraversal, Node)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
