"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","358","The class 'AbstractScopeBuilder' has a total cyclomatic complexity of 229 (highest 31).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","444","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","491","The method 'attachLiteralTypes(NodeTraversal, Node)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","534","The method 'defineObjectLiteral(NodeTraversal, Node)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","774","The method 'createFunctionTypeFromNodes(Node, String, JSDocInfo, Node)' has a cyclomatic complexity of 31.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","917","The method 'createEnumTypeFromNodes(Node, String, JSDocInfo, Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1020","The method 'defineSlot(Node, Node, String, JSType, boolean)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1156","The method 'getDeclaredType(String, JSDocInfo, Node, Node)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1211","The method 'checkForClassDefiningCalls(NodeTraversal, Node, Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"10","com.google.javascript.jscomp","data/temp/Closure_70f/src/com/google/javascript/jscomp/TypedScopeCreator.java","3","1323","The method 'maybeDeclareQualifiedName(NodeTraversal, JSDocInfo, Node, Node, Node)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
