"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","58","The class 'TypeCheck' has a total cyclomatic complexity of 418 (highest 116).","Design","CyclomaticComplexity"
"2","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","496","The method 'visit(NodeTraversal, Node, Node)' has a cyclomatic complexity of 116.","Design","CyclomaticComplexity"
"3","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","912","The method 'visitAssign(NodeTraversal, Node)' has a cyclomatic complexity of 23.","Design","CyclomaticComplexity"
"4","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1030","The method 'checkPropCreation(NodeTraversal, Node)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"5","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1104","The method 'visitObjLitKey(NodeTraversal, Node, Node, JSType)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"6","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1195","The method 'checkDeclaredPropertyInheritance(NodeTraversal, Node, FunctionType, String, JSDocInfo, JSType)' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"7","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1510","The method 'getClosestPropertySuggestion(JSType, String)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"8","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1571","The method 'isPropertyTest(Node)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"9","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1724","The method 'visitFunction(NodeTraversal, Node)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"10","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1802","The method 'visitCall(NodeTraversal, Node)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"11","com.google.javascript.jscomp","data/temp/Closure_125f/src/com/google/javascript/jscomp/TypeCheck.java","3","1943","The method 'visitBinaryOperator(int, NodeTraversal, Node)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
